Event,Time,L1,L2,H,Server Available,Queue Size,Process Time,Queue Contents
L1 Process,0.02,0.26,0.03,1.96,true,0,1.94,""
L2 queued,0.03,0.26,0.16,1.96,false,1,0.00,"0.16"
L2 queued,0.16,0.26,0.41,1.96,false,2,0.00,"0.16 | 0.41"
L1 queued,0.26,0.49,0.41,1.96,false,3,0.00,"0.16 | 0.41 | 0.49"
L2 queued,0.41,0.49,0.74,1.96,false,4,0.00,"0.16 | 0.41 | 0.49 | 0.74"
L1 queued,0.49,0.54,0.74,1.96,false,5,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L1 queued,0.54,1.64,0.74,1.96,false,6,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,0.74,1.64,1.20,1.96,false,7,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,1.20,1.64,2.60,1.96,false,8,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L1 queued,1.64,2.45,2.60,1.96,false,9,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
Taken FROM QUEUE,1.96,2.45,2.60,3.84,true,8,1.88,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L1 queued,2.45,3.01,2.60,3.84,false,9,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,2.60,3.01,2.63,3.84,false,10,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,2.63,3.01,2.84,3.84,false,11,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,2.84,3.01,3.16,3.84,false,12,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L1 queued,3.01,4.09,3.16,3.84,false,13,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,3.16,4.09,3.63,3.84,false,14,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,3.63,4.09,3.86,3.84,false,15,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
Taken FROM QUEUE,3.84,4.09,3.86,5.96,true,14,2.12,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,3.86,4.09,3.92,5.96,false,15,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,3.92,4.09,4.68,5.96,false,16,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L1 queued,4.09,4.09,4.68,5.96,false,17,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L1 queued,4.09,5.19,4.68,5.96,false,18,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,4.68,5.19,4.87,5.96,false,19,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,4.87,5.19,4.94,5.96,false,20,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,4.94,5.19,4.97,5.96,false,21,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,4.97,5.19,5.76,5.96,false,22,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L1 queued,5.19,5.92,5.76,5.96,false,23,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,5.76,5.92,5.81,5.96,false,24,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,5.81,5.92,6.03,5.96,false,25,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L1 queued,5.92,6.16,6.03,5.96,false,26,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
