L1,L2,H,Process Time
1.83965,0.03382,2.36054,2.50966
0.11175,0.01183,2.35092,3.00604
0.28046,0.08876,1.40575,3.60200
0.21148,0.17264,2.01354,3.46890
0.07797,0.05478,1.97829,2.43625
0.09135,0.10809,1.53948,3.39244
0.77856,0.04148,2.03186,3.77380
0.47713,0.42678,2.31394,2.43129
0.16566,0.47307,1.76747,3.33522
0.09085,0.12057,1.60462,3.42232
0.44187,0.06563,1.67761,2.67043
0.59172,0.80856,2.22162,2.85999
0.31314,0.26615,2.60832,3.46622
0.22679,0.40180,2.37029,3.04358
0.12279,0.23761,1.86163,3.54667
1.41842,0.01737,1.93487,2.41843
0.29079,0.01181,1.75553,3.73524
0.26879,0.11864,2.32410,2.78099
0.74812,0.08399,1.66914,3.60918
1.00445,0.20501,2.22241,2.42914
0.11717,0.01957,1.89561,2.40841
0.05910,1.31776,2.38578,3.37914
0.20181,0.13927,1.63711,3.65871
1.39169,0.01680,1.98133,2.46325
0.41134,0.04925,2.21920,2.22697
0.89280,0.05996,1.82624,3.73121
0.16031,0.31546,1.68209,3.17476
0.45123,0.03172,1.90509,3.36603
1.72927,0.13067,1.67301,2.31345
0.23429,0.04661,1.98825,2.94836
1.10876,0.19993,1.92879,2.81711
0.12855,0.16304,2.33249,2.24383
0.94944,0.03082,2.11155,2.08768
0.61311,0.26448,1.62605,2.75752
0.80330,0.19574,2.25902,2.34225
0.09843,0.06703,2.33936,2.20633
0.65039,0.07958,1.88937,2.70781
0.10868,0.23372,2.07164,2.64717
0.07619,0.07938,2.20183,3.46264
0.07808,0.01537,1.55399,3.05438
0.61235,0.21947,2.48401,2.59984
0.03246,0.95141,2.34629,3.21617
0.08127,0.22502,2.07990,3.17243
0.45022,0.28674,1.89128,2.97481
0.28214,0.52875,1.98786,3.49443
1.30794,0.02363,1.55875,3.34601
0.58666,0.15351,2.42209,3.32323
0.09410,0.32554,2.29371,2.68598
0.01476,0.08382,1.83345,3.43799
0.38150,0.10405,1.93765,3.11126
1.86988,0.33143,2.32663,2.79650
0.35325,0.11280,1.99203,3.50437
0.09239,0.37576,1.79928,3.01217
0.31678,0.06367,1.89670,2.79292
0.13259,0.06660,1.92584,2.91210
0.09307,0.00172,1.98512,3.62662
0.11850,0.16128,1.96934,3.19715
1.24123,0.30617,2.06521,3.80670
0.65465,0.01516,2.27504,3.24111
0.32456,0.34691,1.64866,2.39957
0.04148,1.45170,2.24615,3.19939
4.00511,0.04173,1.68167,2.60703
0.27133,0.04141,1.61649,3.80087
0.84341,0.53175,2.62381,3.95997
1.08989,0.01041,2.10330,2.78830
0.19631,0.67394,2.10169,2.65267
1.56717,0.00654,2.15266,2.80779
0.37458,0.92313,2.07002,1.97705
0.21945,0.14640,2.68662,2.50810
3.73742,0.38373,2.34543,3.36880
0.05903,0.55907,1.95644,2.72114
1.48900,0.06478,2.08060,2.51683
0.67252,0.29996,2.11023,3.14887
0.09791,0.18638,1.76772,2.38556
0.11803,0.00908,1.87749,2.80647
0.39490,0.07718,2.07431,2.96900
0.08209,0.48915,1.92346,3.37159
0.43935,0.93914,1.82511,3.21109
0.20116,0.04379,2.20626,2.75270
0.12424,0.51502,1.70798,3.64967
0.17690,0.00710,1.86168,2.78277
0.17290,0.20755,2.34776,2.30488
0.04468,0.00259,1.87985,3.37803
1.12465,0.30620,2.62025,3.79708
0.00380,0.00150,1.25993,2.21845
0.94699,1.13670,1.52830,4.02531
0.58142,1.04734,1.95030,2.42907
0.55718,0.21372,1.83546,2.88217
2.08038,0.01481,2.05769,2.58306
0.32734,0.20020,2.91690,3.33645
2.32626,0.32722,1.87232,3.49825
0.10274,0.01470,2.26073,3.67477
0.85194,0.08260,2.09596,2.35311
0.19143,0.11327,1.89345,3.27308
3.42186,0.02654,1.61328,2.96609
3.42953,0.38691,1.81390,2.00874
0.71195,0.43141,1.90042,2.82496
0.22477,0.43106,2.07512,3.06106
0.44916,0.28316,1.97896,2.44052
0.02841,0.20433,1.53890,3.18771
0.69908,0.06768,2.16449,3.26729
1.55950,0.11780,1.95628,2.30865
0.19998,0.33672,1.65494,3.16980
0.17435,0.06055,1.81752,2.20570
